Airport Code,Latitude,Longitude
DPE,49.933333,1.083333
MJR,-38.216667,-57.866667
SGP,-20.483333,120.1
BHY,21.483333,109.083333
ORC,4.792222,-71.356389
BUI,-3.716667,138.65
DFW,32.896944,-97.038056
DMN,26.951667,108.578889
BIX,28.666667,-88.433333
TOR,51.8,-1.6
RKH,34.933333,-81.016667
NHA,12.233333,109.183333
SWG,-5.883333,147.95
RRI,-7.6,158.4
AQM,-9.933333,-63.066667
YBA,51.166667,-115.566389
XCM,42.4,-82.183333
TNT,25.861944,-80.896944
SRS,8.666667,-75.133333
TBD,2.75,-77.583333
PYO,0.066666999999999,-75.866667
PUK,-18.133333,-136.0
LLH,15.45,-87.9
KIX,34.427222,135.243889
NQL,-14.45,-48.45
YKT,52.6,-128.516667
RZS,33.640278,73.856944
RGE,-5.5,143.083333
XMI,-10.733333,38.766667
IKB,36.166667,-81.15
MQU,5.216667,-74.883333
MVT,-14.883333,-148.666667
TBH,9.528056,123.133611
LOE,17.45,101.733333
FEP,42.266667,-89.583333
ESU,31.066667,-9.05
FLE,52.3,5.833333
JBS,37.699722,-121.9
OGV,-22.183333,18.533333
SYW,6.283333,-8.283333
BBD,31.133333,-99.333333
TBC,13.466667,-14.2
LYE,51.516667,-1.966667
KNS,-39.883056,143.883056
XBB,49.8,-124.633333
ZAC,56.083333,-96.083333
CCK,-12.183333,96.833333
SOX,5.683333,-72.95
MMP,9.25,-74.433333
IKP,-16.25,141.5
ITR,-18.444722,-49.213333
PLL,-3.146111,-59.986389
KYT,21.4,94.133333
JMS,46.933333,-98.683333
MCF,54.433333,23.65
COV,40.283333,-7.5
IKS,71.697778,128.903056
PTB,37.183333,-77.516667
EDK,37.766667,-96.866667
CSV,35.95,-85.083333
GRE,38.883333,-89.416667
MVZ,-20.066667,30.833333
PPY,-22.289167,-45.919167
YGX,56.35,-94.716667
KNU,26.433333,80.366667
TKU,60.514167,22.262778
TUB,-23.383333,-1.466667
QDU,51.2075,6.773333
MYQ,12.3,76.65
HOB,32.683333,-103.216667
EOR,6.733333,-61.583333
RAX,-9.672222,148.033333
TCJ,-4.016667,143.133333
VRC,13.583333,124.2
CPV,-7.266667,-35.9
TBA,-5.6,144.683333
NSP,14.495833,120.918611
BSY,2.35,42.333333
CLV,-17.724722,-48.61
RWS,-22.8,-47.283333
TUX,51.783611,-4.109722
EYW,24.55,-81.766667
MLT,45.65,-68.7
GWA,17.833333,94.5
PEI,4.8,-75.75
HMI,42.483333,93.505556
PNJ,42.446389,119.573611
DCI,39.316667,8.966667
BGL,28.216667,83.666667
HOR,38.533333,-28.616667
EMT,34.1,-118.033333
JIO,-11.283333,-74.433333
LPS,48.483333,-122.936111
CEV,39.633333,-85.133333
OAK,37.716667,-122.216667
JDO,-7.218056,-39.270556
WUK,52.95,-2.833333
CZF,61.733333,-166.0
ZBK,43.116667,19.233333
SZQ,-34.616667,-58.533333
SWB,-21.516667000000000,119.366667
MSZ,-15.208611,12.160833
BTX,-25.633333,140.8
DOX,-29.25,114.933333
SCG,-18.633333,144.55
BDC,-5.466667,-45.266667
WPU,-54.916667,-67.633333
CNK,39.55,-97.65
HNC,35.216667,-75.686111
MJT,39.056667,26.598333
QRY,68.533333,-82.216667
WSP,14.583333,-84.083333
LSA,-8.5,151.083333
SOL,64.583333,-164.3
MNI,16.791389,-62.193333
WKN,-5.866667,155.233333
WNU,-4.9,145.316667
AHT,51.5,179.0
AUS,30.194444,-97.67
BJP,-4.633333,-39.766667
PVI,-23.09,-52.488611
FRC,-20.583333,-47.383333
OXD,45.733333,-63.866667
RBY,64.733333,-155.483333
WSF,31.1,-1.383333
JYV,62.233333,25.733333000000000
ZVG,-17.8,127.633333
XNU,12.733333,-3.866667
YSH,44.833056,-76.115833
YSZ,50.05,-124.916667
MPC,-2.55,101.1
KKX,28.433333,130.008333
HAX,35.745833,-95.412778
HTW,42.2525,-82.494444
GAI,39.168333,-77.166111
PHZ,8.166667,98.283333
HFE,31.95,117.283333
SMF,38.7,-121.616667
SKY,41.433333,-82.7
HDA,57.066667,-134.983333
GVT,33.133333,-96.116667
GMV,-2.616667,152.016667
PFC,45.199722,-123.962222
VXC,-13.283333,35.25
GAZ,-9.233333,152.95
DOD,-6.170556,35.7525
NBP,5.5,-70.483333
TCP,29.587778,34.778056
GNE,51.05,3.716667
CCM,-28.7,-49.366667
YHK,68.633333,-95.95
YVT,55.841944,-108.4175
SRL,27.333333,-112.266667
NCP,16.0,121.0
CAL,55.416667,-5.6
NAO,30.8,106.066667
EFW,42.016667,-94.383333
DSN,39.85,110.033333
BAE,44.388333,6.610278
KSF,51.4,9.383333
GEB,-0.083332999999999,129.333333
OTP,44.580556,26.088889
ZTD,50.35,21.383333
TFN,28.482778,-16.341667
LUK,39.103333,-84.418611
YAQ,48.816667,-1.6
PLJ,16.516667000000000,-88.366667
HTI,-20.358056,148.951667
WUN,-26.633333,120.216667
BYC,-21.966667,-63.7
DUQ,48.783333,-123.7
VLR,-28.6,-70.766667
NTA,-18.083333,177.316667
KDD,27.8,66.6
KIE,-6.333333,155.591667
CGF,41.5525,-81.483889
TOB,32.083611,23.976389
SMD,41.143333,-85.152778
STS,38.516667,-122.8
QWG,35.213889,-80.67
STY,-31.433333,-57.983333
LAS,36.083333,-115.166667
LVM,45.666667,-110.566667
RDU,35.877778,-78.7875
TNI,24.55,80.833333
TTR,-7.083333,120.7
CHE,51.95,-10.216667
ZBY,19.25,101.7
OSE,-7.833333,147.083333
IAR,57.616667,39.883333
FFT,38.198611,-84.906111
LVO,-28.633333,122.366667
XTR,-27.161667,150.476944
PBQ,-11.634722,-61.168889
KZC,12.233333,104.666667
SWD,60.133333,-149.416667
BDY,43.116667,-124.416667
QMQ,25.904444,13.897222
CME,18.7,-91.633333
GTN,-43.901667,170.118333
NUG,-3.333333,154.75
KOP,17.4,104.766667
BNO,43.583333,-118.95
NDS,-28.0,119.25
KBY,-32.8,134.233333
SNG,-16.333333,-60.816667
CMG,-19.011389,-57.666944
ZEL,52.166667,-128.1
PEH,-35.8,-61.883333
YSM,60.016667,-111.966667
BCF,6.5,18.283333
AER,43.45,39.933333
FLH,58.5,-3.0
BJI,47.516667,-94.933333
MFJ,-18.6,179.883333
KMD,-1.666667,10.416667
AHL,2.483333,-59.316667
GLQ,62.116667,-145.55
GWS,-32.6,27.55
TWF,42.481667,-114.487778
PEQ,31.4,-103.516667
SZX,22.55,113.916667
ULQ,4.083333,-76.0
MUY,-3.983333,13.919444
RBI,-17.033333,178.916667
MNK,0.033333,173.0
EGM,-8.566667,157.866667
ENW,42.583333,-87.916667
SLB,42.6,-95.233333
VDI,32.216667,-82.4
IKO,52.95,-168.866667
VCV,34.5975,-117.383056
TKL,59.783333,-1.25
JRA,40.754444,-74.0075
FLJ,60.0325,-148.008333
HLC,39.366667,-99.85
BUY,-33.378333,115.676667
TDL,-37.233333,-59.216667
NQU,5.7,-77.283333
PST,20.75,-75.65
HOQ,50.316667,11.916667
AIO,41.4,-95.016667
TRN,45.200833,7.649722
RBN,19.833333,-72.5
LIH,21.983333,-159.35
FRH,38.55,-86.616667
OLH,57.2,-153.316667
AND,34.5,-82.716667
NRC,37.4,-121.066667
BWG,36.966667,-86.416667
OKC,35.393056,-97.600833
DWF,46.233333,-83.333333
GBE,-24.555278,25.918333
YHZ,44.880833,-63.508611
ICR,20.983333,-75.975
FAC,-16.75,-1.233333
MZA,29.483333,77.7
TCH,-2.866667,11.016667
CRU,12.466667,-61.466667
XIJ,29.076944,48.083889
AKI,60.9,-161.233333
CYS,41.15,-104.8
NBV,-13.538056,-48.246944
LBR,-7.25,-64.783333
MWV,5.516667,72.866667
SSQ,48.916667,-79.166667
TQN,36.5,69.5
RGL,-51.65,-69.2
EFG,-9.15,147.666667
BET,60.783333,-161.833333
OGL,6.8,-58.105556
APQ,-9.75,-36.65
KUC,0.233332999999999,173.416667
THK,17.4,104.8
BWA,27.505833,83.418889
HKK,-42.716667,170.983333
BOS,42.363056,-71.0
OGD,41.2,-112.016667
SRV,61.783333,-156.583333
GRT,32.566667,74.083333
KDW,7.3,80.716667
BTM,45.954722,-112.4975
DEC,39.833333,-88.866667
JNP,33.6,-117.883333
GGW,48.216667,-106.616667
SLG,36.183333,-94.533333
CDR,42.833333,-103.083333
BGM,42.208611,-75.979722
MBY,39.466667,-92.433333
PAG,7.833333,123.483333
RBV,58.05,25.1
MHK,39.133333,-96.666667
EOS,36.866667,-94.366667
TOW,-5.883333,-73.116667
YZU,54.15,-115.683333
WUZ,23.5,111.333333
WXN,30.9,108.466667
CRB,-29.525833,148.575833
JMK,37.433333,25.35
OHP,-0.566666999999999,10.283333
ASQ,39.5,-117.066667
LBZ,-8.416667,20.75
SVK,16.733333000000000,-88.333333
EPN,1.366667,17.483333
AGQ,38.6,21.383333
YNY,38.073889,128.621111
SEY,15.183333,-12.2
GRN,42.8,-102.2
STT,18.337222,-64.973333
CFS,-30.320556,153.116389
YAA,52.466667,-125.3
KIF,53.033333,-89.833333
FYT,17.933333,19.133333
EMI,-1.65,149.966667
LSU,4.55,115.5
UVE,-20.5,166.666667
INR,45.85,5.416667
UMB,53.366667,-167.9
TWA,46.266667,-1.85
PBR,15.8,-88.5
LAR,41.316667,-105.666667
RAC,42.757778,-87.820833
PYM,41.966667,-70.683333
OSH,43.983333,-88.55
KHR,46.783333,102.85
UYL,12.066667,24.9
SFA,34.716667,10.683333
SJK,-23.183333,-46.116667
YPM,51.816667,-94.0
LLL,-16.5,128.666667
SSS,-5.9,147.95
ZYD,39.0,-9.133333
PHS,16.783333,100.266667
AFY,38.733333,30.6
JFN,41.733333,-80.766667
ZXS,42.878333,-78.875278
TOC,42.216667,13.9
AII,11.15,42.716667
CTF,14.166667,-90.15
CYA,18.266667000000000,-73.783333
ZGL,-25.683333,142.116667
TKR,26.033333,88.466667
MUB,-19.966667,23.433333
YPH,58.45,-78.1
BNA,36.124444,-86.678056
ZJT,1.583333,110.483333
IMI,6.983333,171.616667
MXL,32.65,-115.45
RRM,-18.290833,35.945278
TPP,-2.316667,-74.116667
TMQ,14.8,50.0
XSI,56.766667,-98.95
KTY,6.0,80.3
ILN,39.416667,-83.8
QNY,5.5,-70.483333
KCE,-20.55,147.866667
AVB,46.066667,12.6
MMI,35.45,-84.6
TVI,51.566667,8.133333
RTL,43.416667,-95.1
WAW,52.166667,20.966667
AGN,57.5,-134.583333
AUO,32.616667,-85.433333
BVY,42.516667,-70.833333
ADD,8.977778,38.799444
KEV,61.866667,24.8
SBR,-9.4,142.666667
MQK,-11.7,-66.65
CFB,-22.883333,-42.016667
SQQ,55.666667,26.266667000000000
LHE,31.521667,74.403611
SLM,40.966667,-5.65
ADS,32.968611,-96.836389
FWH,32.769167,-97.441667
FLV,19.833333,-72.5
NLS,-18.041667,128.9
MXZ,24.35,116.133333
CNT,-27.216667,-61.216667
EVV,38.036944,-87.5325
JGE,34.907778,128.686944
EIN,51.45,5.374444
PHC,5.015556,6.9497220000000000
NIK,13.075,-12.716667
CRF,4.933333,15.9
ALJ,-28.616667,16.533333
HST,25.483333,-80.483333
PCE,47.8,10.216667
BLF,37.3,-81.2
RDM,44.25,-121.15
RVN,66.561667,25.830833
LAD,-8.85,13.233333
MVK,-28.35,138.65
YSP,48.75,-86.35
STW,45.333333,42.008333
SUU,5.816667,-54.816667
AIB,56.233333,-132.383333
BHB,44.45,-68.366667
SXV,15.715,73.916667
CKT,35.994722,51.307778
GZM,36.041667,14.208333
BXA,30.783333,-89.866667
IWD,46.533333,-90.133333
KLN,57.533333,-154.0
XHW,-23.566667,145.8
CRY,-15.7,128.5
MHW,-19.816667,-63.983333
ESI,-14.933333,-42.833333
GUQ,9.033333,-69.75
BZK,53.266667,34.333333
AOO,40.3,-78.316667
PVF,38.716667,-120.8
SAA,41.45,-106.8
LMS,33.15,-89.066667
AEL,43.683333,-93.366667
ZFU,-23.4,-46.333333
SLZ,-2.585278000000000,-44.234167
ZIU,50.770833,6.105278
BKJ,10.966667,-14.283333
LUO,-11.768056,19.897778
ZEF,39.966667,119.783333
KMR,-6.5,144.833333
CHY,-6.7,156.45
CVS,19.15,-72.55
LVI,-17.805278,25.822778
AXV,40.566667,-84.183333
RON,6.3,-71.083333
PSY,-51.75,-59.0
SOZ,41.85,9.383333
HTB,15.883333,-61.216667
OTI,2.046111,128.324722
SJZ,38.662778,-28.244444
EDI,55.95,-3.35
DHF,24.45,54.383333
BLW,21.35,-157.716667
CTU,30.578611,103.947222
UAM,13.433333,144.766667
NAI,3.75,-59.0
IXG,15.85,74.6
HCA,32.3,-101.433333
JCI,38.830833,-94.890278
BFR,38.85,-86.483333
MRA,32.333333,15.066667
MXT,-18.05,44.033333
LID,52.166111,4.418056
DLD,60.466667,8.5
EMG,-28.733333000000000,31.9
KEW,49.766667,-94.55
RPM,-14.833333,134.916667
KSD,59.366667,13.466667
GSR,9.516667,49.083333
CMD,-34.633333,148.05
ERB,-26.266667000000000,132.166667
ZYL,24.95,91.866667
PKO,9.35,2.616667
PVN,42.0,24.5
OPW,-18.066667,13.833333
KNJ,-3.733333,14.216667
SCJ,55.4375,-132.341667
TLT,37.966667,39.533333
BCA,20.25,-74.35
MYM,4.6,-59.633333
CTS,42.8,141.666667
AGU,21.866667,-102.25
OND,-17.878333,15.9525
SKE,59.233333,9.7
IBI,-5.583333,149.2
GES,6.106389,125.235278
LBT,34.6,-79.066667
AIN,70.633333,-160.033333
PMV,10.913056,-63.9675
BEL,-1.383611,-48.468611
MQV,43.247778,17.785556
GBB,26.15,-7.35
UBU,-14.416667,126.666667
KWM,-15.487778,141.76
TYG,-26.066667,143.466667
YFS,61.75,-121.233333
SQF,0.716666999999999,-75.266667
DOG,19.183333,30.433333
BIC,57.666667,-157.583333
GDV,47.133333,-104.683333
LGF,-1.6,138.716667
MBJ,18.5,-77.916667
UNE,-30.1,28.7
KPE,-4.633333,141.1
UGB,57.433333,-157.75
MLP,7.633333,124.066667
ABX,-36.066667,146.95
KUG,-10.25,142.216667
CCS,10.603056,-66.990556
CTW,34.733333,-112.033333
MXC,37.866667,-109.35
GOL,42.416667,-124.416667
BIA,42.7,9.45
MRJ,14.133333,-88.033333
KBJ,-24.261389,131.490833
YSB,46.616667,-80.8
SFJ,67.016944,-50.689167
BHL,28.95,-113.55
MLF,38.433333,-113.016667
KMY,57.0,-154.166667
PSI,25.3,63.366667
OKT,54.433333,53.383333
HFS,60.0175,13.569167
IRI,-7.633333,35.766667
GHN,30.466667,106.65
VRO,23.036111,-81.573889
FOK,40.833333,-72.616667
KZH,57.583333,-153.15
ISP,40.795278,-73.100278
ALM,32.833333,-106.0
TTN,40.276667,-74.813333
SLH,-15.85,167.566667
WJA,7.466667,168.566667
SJE,2.583333,-72.666667
TRQ,-8.166667,-70.766667
YZH,55.293056,-114.777222
YRQ,46.35,-72.55
LOA,-19.083333,139.966667
EIS,18.444722,-65.543056
YEP,49.383333,-126.55
YTZ,43.6275,-79.396111
URA,51.150833,51.543056
IHO,-22.401389,46.133333
VAT,-19.283333,48.833333
CUL,22.75,-107.483333
RPA,28.7,82.65
VAS,39.766667,37.016667
BMT,18.5,-73.95
INC,38.366667,106.366667
TJQ,-2.966667,111.683333
JAR,34.133333,-118.016667
SBA,33.426111,-119.840278
SJQ,-17.45,24.366667
CAN,23.3925,113.298889
ZBE,49.928333,18.071111
ALY,31.183333,29.95
URE,58.23,22.509444
LTT,46.773056,2.816667
JTR,36.4,25.483333
MJY,-2.733333,103.566667
MXB,-2.533333,120.333333
TIY,18.55,-11.416667
BZY,47.838056,27.781389
JHY,42.366667,-71.102778
WRG,56.466667,-132.383333
TCU,-29.25,26.883333
WAU,-31.45,152.733333
TYB,-29.433333,142.016667
VIJ,18.5,-64.5
XPJ,45.633333,-0.75
TGM,46.467222,24.4125
ABT,22.833333,42.216667
OER,63.408333,18.991667
AIY,39.366667,-74.45
SEP,32.216667,-98.183333
MEO,35.911111,-75.7
WTO,10.166667,166.033333
LOD,-15.366667,167.95
EKX,37.7,-85.866667
MES,3.566667,98.683333
KUN,54.963889,23.084722
AJJ,19.733333000000000,-14.383333
JRO,3.75,37.75
KNF,51.366667,-0.283333
NYN,-31.55,147.183333
ATM,-3.253889,-52.253889
ZOS,-40.6,-73.033333
SUQ,-2.466667,-78.183333
DIR,9.633333,41.866667
MZX,6.35,39.716667
HUH,-16.683333,-151.033333
IFN,32.750833,51.861389
SWU,37.233889,127.001389
TPI,-8.366667,146.983333
HIF,41.123889,-111.973056
TWE,56.15,-1.666667
NXX,-38.083333,146.2
DWN,35.449167,-97.533056
TFL,-17.85,-41.5
YLX,59.35,-94.683333
RSI,9.316667,-79.283333
RUN,-20.883333,55.533333
SSX,41.278056,36.3
PAD,51.716667,8.75
JNN,60.15,-45.216667
CUY,-27.45,117.916667
KTR,-14.516667,132.366667
YRA,64.116667,-117.35
ATV,13.233333,18.316667
CIY,37.0,14.6
FLX,39.466667,-118.769444
MAR,10.68,-71.660278
AJO,15.716667,44.25
MDI,7.716667,8.6
BFS,54.590833,-5.916667
AUK,62.683333,-164.633333
DRF,60.583333,-152.15
ITO,19.716667,-155.05
KCL,56.3,-158.533333
SQS,5.55,-75.366667
TOI,54.912778,70.348056
LNB,-16.583333,168.183333
SJF,18.333333,-64.75
GTI,54.383056,12.316389
RAN,44.366667,12.216667
DMT,-14.416667,-56.45
PNB,-10.716667,-48.4
MFO,27.966667,34.383333
EDA,55.95,-133.666667
JDY,33.956389,-118.120556
PVX,64.366667,173.233333
TUD,13.5,-13.75
YHF,49.683333,-83.666667
CCW,-33.666667,136.9
HWK,-31.883333,138.4
SEH,-3.433333,140.816667
DNA,26.355556,127.7675
FLW,39.466667,-31.15
KLR,56.685833,16.290556
WAN,-25.366667,141.933333
OGR,10.289444,15.383333
AMO,14.116667,15.316667
SJW,38.05,114.466667
KWL,25.218056,110.039167
IKL,-1.2,23.283333
FCO,41.804444,12.250833
TFC,37.85,15.283333
MPM,-25.916667,32.566667
FDE,61.391111,5.756944
SKF,6.233333,-76.733333
DLK,-29.016667,139.466667
GSC,-25.05,115.2
YAC,51.666667,-91.833333
LEO,-1.683333,14.3
GBF,-6.583333,144.666667
SWS,51.6,-4.066667
RTI,-10.483333,123.366667
OIC,42.983333,-80.6
DLF,29.516667000000000,-100.0
TKV,-17.333333,-1.383333
IXY,23.116667,70.1
JMD,7.716667,40.916667
APF,26.15,-81.766667
MQT,46.533333,-87.566667
WTL,13.45,-15.8
SLI,-12.172222,26.366667
XUW,63.033333,10.3
PRM,37.133333,-8.533333
VRU,-26.983333,24.733333000000000
ITB,-4.266667,-55.983333
YOA,37.394444,25.2575
TNR,-18.796944,47.478889
PRK,-29.666667,22.7
RCS,51.35,0.5
HNH,58.1,-135.433333
WEF,36.71,119.101944
ARQ,7.036111,-71.440278
MHI,11.333333,43.016667
TLI,1.0425,120.813611
EBW,2.85,11.183333
YOJ,58.616667,-117.166667
MKG,43.166667,-86.233333
WHP,34.259167,-118.413333
BRM,10.042778,-69.358611
DOE,4.0,-55.483333
BMA,59.352778,17.95
CRD,-45.783333,-67.466667
BUS,41.610278,41.599722
JFR,62.0,-49.65
DBQ,42.4,-90.716667
KNW,59.533333,-157.333333
OME,64.516667,-165.433333
KDU,35.3,75.633333
BSA,11.283333,49.183333
ABO,5.466667,-3.2
JEV,48.616667,2.416667
KPG,6.466667,-59.166667
QGY,47.627222,17.808333
CBD,9.166667,92.783333
GRU,-23.431944,-46.469444
YZD,43.7425,-79.465556
PKS,18.366667,103.65
OSY,64.466667,11.6
TOS,69.681389,18.917778
KDY,8.458611,81.231944
MIA,25.783333,-80.266667
XWC,48.25,16.416667
CWB,-25.528611,-49.175833
JPR,-8.05,-62.866667
MWY,-17.366667,141.866667
RTE,55.7,-131.633333
RPX,46.433333,-108.533333
BNS,8.616667,-70.216667
SFH,31.166667,-114.833333
VIL,23.733333000000000,-15.916667
MYX,-7.2,146.016667
BXU,8.966667,125.416667
XDE,10.966667,-3.25
JNB,-26.139167,28.246111
WEL,-28.0,26.75
SIK,36.883333,-89.566667
FXY,43.266667,-93.65
RIW,43.064167,-108.459722
LLI,12.016667,39.066667
UAX,17.383333,-89.666667
ZJK,22.3,113.933333
NMR,-27.633333,141.083333
ZLW,5.95,102.083333
AJI,39.65,43.033333
GQJ,55.783333,-6.466667
AEX,31.3275,-92.548611
AAP,29.723889,-95.588333
BIV,6.533333,21.983333
JUO,6.516667,-76.6
LEH,49.533333,0.083332999999999
BUL,-7.2,146.65
IMA,-9.5,150.5
MMV,11.381111,-69.126667
UMI,-13.266667,-70.633333
HLA,-25.947222,27.915
AGM,65.666667,-37.666667
PEJ,40.594722,17.006667
FRD,48.521944,-123.024444
GDH,59.746944,-158.874722
GUL,-33.833333,151.833333
EFK,44.883333,-72.233333
FTA,-19.533333,170.216667
ANX,69.316667,16.116667
MRH,61.383333,-1.216667
BHH,19.983333,42.65
CDO,-32.155556,25.645833
CTY,29.65,-83.116667
VLC,39.489444,-0.481666999999999
AGC,40.35,-79.933333
BDL,41.938889,-72.683333
KRA,-35.75,143.933333
MQZ,-18.633333,126.866667
CEP,-16.233333,-62.083333
KGS,36.793333,27.091667
GUO,15.083333,-86.033333
TUC,-26.816667,-65.216667
LPG,-34.916667,-57.95
YOS,44.666667,-80.916667
XDW,54.316667,-1.333333
YQD,57.3,-1.883333
PWI,11.333333,36.416667
LDX,5.483333,-54.033333
BXV,64.8,-13.833333
FAG,63.883333,-16.65
LBN,0.666667,36.083333
SEK,31.95,-4.4
FKL,41.383333,-79.866667
HUJ,34.016667,-95.516667
JEF,38.591111,-92.039444
UKX,56.85,105.733333
ADP,8.3,80.416667
CMJ,23.25,119.416667
GDT,21.566667,-71.166667
MWH,47.095,-119.261389
PAE,47.919444,-122.283611
CWT,-33.85,148.65
YHA,52.533333,-56.3
RPR,21.183333,81.733333
LIN,45.45,9.283333
TAJ,-3.133333,142.35
SUT,-7.966667,31.616667
MTT,18.0,-94.533333
NMT,23.083333,97.4
XUZ,34.266667,117.183333
TLN,43.097222,6.146111
TSP,35.135,-118.439167
LKK,58.966667,-155.083333
HHI,13.966667,-4.433333
YQK,49.816667,-94.366667
YWA,45.9,-77.283333
BVC,16.083333,-22.833333
USL,-25.966667,113.116667
EKN,38.883333,-79.85
JSO,59.2,17.616667
SCL,-33.559722,-70.7
AGE,53.783333,7.916667
SGQ,0.5,117.333333
AXT,39.615556,140.218611
SXS,5.089722,119.091667
APC,38.45,-122.216667
BDF,41.183333,-89.65
TBB,13.049444,109.333611
DUS,51.289444,6.766667
MQN,66.316667,14.0
UUU,-8.083333,147.55
NKV,55.849722,-133.227778
OXR,34.2,-119.2
CAU,-8.283333,-35.966667
MII,-22.216667,-49.933333
YJF,60.25,-123.466667
ODJ,8.916667,22.583333
EKT,59.383333,16.45
FMA,-26.212778,-58.228056
AYG,1.544167000000000,-73.933333
KKM,14.8,100.616667
EUA,-21.366667,-174.933333
TUY,20.216667,-87.466667
FXO,-14.816667,36.533333
ENU,6.466667,7.55
SMJ,-7.666667,146.833333
MMX,55.55,13.366667
WGE,-30.033333,148.133333
CRI,22.75,-74.15
CYC,17.7,-88.033333
OBE,27.25,-80.833333
IND,39.717222,-86.294722
JCA,43.552778,7.016667
GNB,45.363056,5.332778
ETH,29.55,34.95
OVR,-35.7,-63.0
IFF,-18.916667,141.25
SSZ,-23.916667,-46.133333
YRS,54.166667,-93.583333
MQQ,8.633333,16.066667
IXW,22.816667,86.166667
ZMF,19.616667,-71.883333
PRJ,40.583333,14.233333
AKL,-37.008056,174.791667
MFN,-44.616667,167.933333
AAW,34.2,73.25
TRX,44.1,-77.583333
AWR,-4.116667,144.85
SGD,54.95,9.766667
KOZ,57.916667,-152.483333
SAG,69.366667,-148.7
CRS,32.1,-96.466667
ACP,37.733333,46.45
TBE,-4.183333,143.516667
LWO,49.8125,23.956111
SCP,44.683333,6.583333
OMO,43.286667,17.85
FLB,-6.833333,-43.0
YGZ,76.425,-82.945833
YXK,48.466667,-68.516667
